"to_char","altersgruppe","sumtodesfall","cumulatetodesfall","cumulatefall"
"2020/03","A00-A04",0,0,163
"2020/04","A00-A04",0,0,440
"2020/05","A00-A04",0,0,540
"2020/06","A00-A04",0,0,583
"2020/07","A00-A04",0,0,713
"2020/08","A00-A04",0,0,888
"2020/09","A00-A04",0,0,1200
"2020/10","A00-A04",0,0,2071
"2020/11","A00-A04",0,0,4297
"2020/12","A00-A04",0,0,6605
"2021/01","A00-A04",0,0,7910
"2021/02","A00-A04",0,0,8081
"2020/03","A05-A14",0,0,497
"2020/04","A05-A14",0,0,1116
"2020/05","A05-A14",0,0,1292
"2020/06","A05-A14",0,0,1381
"2020/07","A05-A14",0,0,1595
"2020/08","A05-A14",0,0,2202
"2020/09","A05-A14",0,0,3119
"2020/10","A05-A14",0,0,5740
"2020/11","A05-A14",1,1,12897
"2020/12","A05-A14",0,1,20676
"2021/01","A05-A14",0,1,24434
"2021/02","A05-A14",0,1,24795
"2020/03","A15-A34",3,3,4661
"2020/04","A15-A34",4,7,10685
"2020/05","A15-A34",0,7,11998
"2020/06","A15-A34",0,7,12511
"2020/07","A15-A34",0,7,13499
"2020/08","A15-A34",0,7,16822
"2020/09","A15-A34",0,7,21658
"2020/10","A15-A34",1,8,36230
"2020/11","A15-A34",1,9,67810
"2020/12","A15-A34",3,12,100158
"2021/01","A15-A34",2,14,120867
"2021/02","A15-A34",0,14,122570
"2020/03","A35-A59",37,37,8199
"2020/04","A35-A59",48,85,17485
"2020/05","A35-A59",5,90,18930
"2020/06","A35-A59",4,94,19401
"2020/07","A35-A59",0,94,20394
"2020/08","A35-A59",0,94,22575
"2020/09","A35-A59",4,98,26383
"2020/10","A35-A59",9,107,41893
"2020/11","A35-A59",71,178,80363
"2020/12","A35-A59",97,275,124390
"2021/01","A35-A59",38,313,151493
"2021/02","A35-A59",0,313,153952
"2020/03","A60-A79",302,302,3350
"2020/04","A60-A79",477,779,8300
"2020/05","A60-A79",61,840,8937
"2020/06","A60-A79",6,846,9085
"2020/07","A60-A79",3,849,9287
"2020/08","A60-A79",5,854,9585
"2020/09","A60-A79",18,872,10499
"2020/10","A60-A79",111,983,15798
"2020/11","A60-A79",580,1563,30242
"2020/12","A60-A79",919,2482,48558
"2021/01","A60-A79",390,2872,60322
"2021/02","A60-A79",3,2875,61286
"2020/03","A80+",474,474,1374
"2020/04","A80+",1085,1559,4944
"2020/05","A80+",120,1679,5498
"2020/06","A80+",16,1695,5595
"2020/07","A80+",8,1703,5662
"2020/08","A80+",8,1711,5737
"2020/09","A80+",32,1743,5956
"2020/10","A80+",284,2027,7623
"2020/11","A80+",1549,3576,15655
"2020/12","A80+",2887,6463,29307
"2021/01","A80+",1340,7803,38347
"2021/02","A80+",13,7816,38909
"2020/04","unbekannt",0,0,2
"2020/05","unbekannt",0,0,3
"2020/07","unbekannt",0,0,4
"2020/08","unbekannt",0,0,7
"2020/09","unbekannt",0,0,11
"2020/10","unbekannt",1,1,37
"2020/11","unbekannt",0,1,125
"2020/12","unbekannt",1,2,240
"2021/01","unbekannt",0,2,296
"2021/02","unbekannt",0,2,307
